uri,nome,cognome,patronimico,genere_inferito
https://florentiaillustrata.net/resource/person/Colomba_Scorsini,Colomba,Scorsini,Vincenzo,F
https://florentiaillustrata.net/resource/person/Geltrude_Grazzini,Geltrude,Grazzini,Giovanni,F
https://florentiaillustrata.net/resource/person/Giuditta_Carboni,Giuditta,Carboni,Carlo,F
https://florentiaillustrata.net/resource/person/Angiola_Calvo,Angiola,Calvo,Joseph,F
https://florentiaillustrata.net/resource/person/Giuditta_Cocchi,Giuditta,Cocchi,Giuseppe,F
https://florentiaillustrata.net/resource/person/Maria_Maddalena_Masini,Maria Maddalena,Masini,Niccola,F
https://florentiaillustrata.net/resource/person/Paolina_Berni,Paolina,Berni,Giovanni,F
https://florentiaillustrata.net/resource/person/Maria_Rosa_Merli,Maria Rosa,Merli,Sebastiano,F
https://florentiaillustrata.net/resource/person/Fortunata_Grazzini,Fortunata,Grazzini,Giovan Andrea,F
https://florentiaillustrata.net/resource/person/Maria_Maddalena_Bechi,Maria Maddalena,Bechi,Antonio Gaspero,F
https://florentiaillustrata.net/resource/person/Maria_Annunziata_Grazzini,Maria Annunziata,Grazzini,Gaspero,F
https://florentiaillustrata.net/resource/person/Fulvia_Targioni_Tozzetti,Fulvia,Targioni Tozzetti,Giovanni,F
https://florentiaillustrata.net/resource/person/Gesualda_Bardi,Gesualda,Bardi,Luigi,F
https://florentiaillustrata.net/resource/person/Colomba_Favi,Colomba,Favi,Giovanni,F
https://florentiaillustrata.net/resource/person/Enrichetta_Moro,Enrichetta,Moro,Tommaso,F
https://florentiaillustrata.net/resource/person/Maria_Rosa_Parigi,Maria Rosa,Parigi,Michele,F
https://florentiaillustrata.net/resource/person/Maria_Rosa_Cajani,Maria Rosa,Cajani,Pietro né Rigacci,F
https://florentiaillustrata.net/resource/person/Maria_Anna_Giudici,Maria Anna,Giudici,Michele,F
https://florentiaillustrata.net/resource/person/Paolina_Balenci,Paolina,Balenci,Giovanni,F
https://florentiaillustrata.net/resource/person/Maria_Carlotta_Manetti,Maria Carlotta,Manetti,Saverio,F
https://florentiaillustrata.net/resource/person/Oliva_Lorenzini,Oliva,Lorenzini,Domenico,F
https://florentiaillustrata.net/resource/person/Maria_Agnese_Fantoni,Maria Agnese,Fantoni,Angiolo,F
https://florentiaillustrata.net/resource/person/Penelope_Baldi,Penelope,Baldi,Luigi,F
https://florentiaillustrata.net/resource/person/Amalia_Brunacci,Amalia,Brunacci,Angiolo,F
https://florentiaillustrata.net/resource/person/Orsola_Marghieri,Orsola,Marghieri,Pietro,F
https://florentiaillustrata.net/resource/person/Ernesta_Bruscoli,Ernesta,Bruscoli,Giovacchino,F
https://florentiaillustrata.net/resource/person/Lidiana_Giamberini,Lidiana,Giamberini,Luigi,F
https://florentiaillustrata.net/resource/person/Orsola_Ramponi,Orsola,Ramponi,Andrea,F
https://florentiaillustrata.net/resource/person/Giustina_Gori,Giustina,Gori,Giulio,F
https://florentiaillustrata.net/resource/person/Maria_Carolina_Masini,Maria Carolina,Masini,Niccola,F
https://florentiaillustrata.net/resource/person/Felicita_Puliti,Felicita,Puliti,Michelangiolo,F
https://florentiaillustrata.net/resource/person/Clorinda_Boccini,Clorinda,Boccini,Francesco,F
https://florentiaillustrata.net/resource/person/Maria_Annunziata_Fossi,Maria Annunziata,Fossi,Vincenzio,F
https://florentiaillustrata.net/resource/person/Maria_Alessandra_Marchi,Maria Alessandra,Marchi,Adamo,F
https://florentiaillustrata.net/resource/person/Maria_Luisa_Masini,Maria Luisa,Masini,Niccola,F
https://florentiaillustrata.net/resource/person/Maria_Maddalena_Grazzini,Maria Maddalena,Grazzini,Giovan Andrea,F
https://florentiaillustrata.net/resource/person/Geltrude_Carli,Geltrude,Carli,Stefano,F
https://florentiaillustrata.net/resource/person/Giuditta_Tempesti,Giuditta,Tempesti,Carlo,F
https://florentiaillustrata.net/resource/person/Enrichetta_Favi,Enrichetta,Favi,Giovanni,F
https://florentiaillustrata.net/resource/person/Livia_Calvelli,Livia,Calvelli,Giuseppe,F
https://florentiaillustrata.net/resource/person/Giuditta_Carlini,Giuditta,Carlini,Carlo,F
https://florentiaillustrata.net/resource/person/Clementina_Stacchini,Clementina,Stacchini,Gaetano,F
https://florentiaillustrata.net/resource/person/Minerva_Barbolani_da_Montauto,Minerva,Barbolani da Montauto,Ferdinando,F
https://florentiaillustrata.net/resource/person/Ernesta_Malenotti,Ernesta,Malenotti,Ciriaco,F
https://florentiaillustrata.net/resource/person/Brigida_Galli,Brigida,Galli,Giovanni,F
https://florentiaillustrata.net/resource/person/Regina_Da_Montelatico,Regina,Da Montelatico,Pietro,F
https://florentiaillustrata.net/resource/person/Maria_Luisa_Buzzichelli,Maria Luisa,Buzzichelli,Pietro,F
https://florentiaillustrata.net/resource/person/Luisa_Maria_Del_Nero,Luisa Maria,Del Nero,Giuseppe,F
https://florentiaillustrata.net/resource/person/Paolina_Uccelli,Paolina,Uccelli,Antonio,F
https://florentiaillustrata.net/resource/person/Enrichetta_Calamai,Enrichetta,Calamai,Giuliano,F
https://florentiaillustrata.net/resource/person/Tecla_Venturi,Tecla,Venturi,Domenico Gaspero,F
https://florentiaillustrata.net/resource/person/Amalia_Salvucci,Amalia,Salvucci,Francesco,F
https://florentiaillustrata.net/resource/person/Edwige_Fossi,Edwige,Fossi,Gaetano,F
https://florentiaillustrata.net/resource/person/Giustina_Giachetti,Giustina,Giachetti,Giovanni,F
https://florentiaillustrata.net/resource/person/Innocenza_Perini,Innocenza,Perini,Gaetano,F
https://florentiaillustrata.net/resource/person/Maria_Anna_Venturi_Garzoni,Maria Anna,Venturi Garzoni,Paolo Lodovico,F
https://florentiaillustrata.net/resource/person/Leonilda_Giovanelli,Leonilda,Giovanelli,Francesco,F
https://florentiaillustrata.net/resource/person/Cherubina_Da_Montelatico,Cherubina,Da Montelatico,Pietro,F
https://florentiaillustrata.net/resource/person/Enrichetta_Berrettari,Enrichetta,Berrettari,Gaetano,F
https://florentiaillustrata.net/resource/person/Enrichetta_Saladini,Enrichetta,Saladini,Giuseppe,F
https://florentiaillustrata.net/resource/person/Maria_Maddalena_Lanfredi,Maria Maddalena,Lanfredi,Domenico,F
https://florentiaillustrata.net/resource/person/Penelope_Nelli,Penelope,Nelli,Giuseppe Maria,F
https://florentiaillustrata.net/resource/person/Giustina_Sani,Giustina,Sani,Zanobi,F
https://florentiaillustrata.net/resource/person/Lidia_Uccelli,Lidia,Uccelli,Antonio,F
https://florentiaillustrata.net/resource/person/Maria_Clementina_Buzzichelli,Maria Clementina,Buzzichelli,Pietro,F
https://florentiaillustrata.net/resource/person/Giuditta_Sorbi,Giuditta,Sorbi,Angiolo,F
https://florentiaillustrata.net/resource/person/Cleofe_Ciofi,Cleofe,Ciofi,Giovan Battista,F
https://florentiaillustrata.net/resource/person/Clementina_Baldi,Clementina,Baldi,Luigi,F
https://florentiaillustrata.net/resource/person/Regina_Scorsini,Regina,Scorsini,Vincenzo,F
https://florentiaillustrata.net/resource/person/Maria_Antonia_Brunacci,Maria Antonia,Brunacci,Pier Cesare,F
https://florentiaillustrata.net/resource/person/Angiola_Gherardini,Angiola,Gherardini,Giuseppe,F
https://florentiaillustrata.net/resource/person/Enrichetta_Catani,Enrichetta,Catani,Antonio,F
https://florentiaillustrata.net/resource/person/Regina_Faini,Regina,Faini,Marco,F
https://florentiaillustrata.net/resource/person/Maria_Domenica_Falci,Maria Domenica,Falci,Niccolò,F
https://florentiaillustrata.net/resource/person/Enrichetta_Tondu,Enrichetta,Tondu,Andrea,F
https://florentiaillustrata.net/resource/person/Giustina_Paoletti,Giustina,Paoletti,Luigi,F
https://florentiaillustrata.net/resource/person/Maria_Eva_Betti,Maria Eva,Betti,Zanobi,F
