"specie_pro","macro_categoria"
"fortezza","fabbricato urbano"
"scrittoio, stanze annesse alla Porta al Prato","fabbricato urbano"
"scala e capanna","fabbricato urbano"
"palazzo con cortile, rimessa, scuderia ed annessi","fabbricato urbano"
"pastura gelsata","spazio aperto verde"
"casa, corte e annessi","fabbricato urbano"
"uccelliera e fabbrica","fabbricato urbano"
"oratorio e compagnia","spazio religioso"
"vasca e loggia","fabbricato urbano"
"casa a terreno e magazzino","fabbricato urbano"
"prato cipressato","spazio aperto verde"
"orto e cappella","spazio religioso"
"casa a terreno e primo piano","fabbricato urbano"
"lavorativo nudo","spazio aperto verde"
"strada","spazio aperto"
"lavorativo vitato, pioppato, fruttato","spazio aperto verde"
"fienile","fabbricato urbano"
"lavorativo vitato coltivato e ortivo","spazio aperto verde"
"spezieria","servizi"
"orto a comune","spazio aperto verde"
"bottega e parte di 1i piano","attività"
"passo a comune","spazio aperto"
"lavorativo gelsato","spazio aperto verde"
"rimessa e scuderia","fabbricato urbano"
"","spazio aperto"
"sodo alberato","spazio aperto verde"
"stalla e casa","fabbricato urbano"
"passare a comune","fabbricato urbano"
"sodo gelsato","spazio aperto verde"
"gora","acque"
"casa a piano","fabbricato urbano"
"fontana e vasca","acque"
"bottega e annessi","attività"
"luogo di amministrazione","servizi"
"chiesa e cimitero","spazio religioso"
"rimessa, corte e fabbricato","fabbricato urbano"
"casa e giardinetto","fabbricato urbano"
"villa","fabbricato urbano"
"pian terreno di una casetta","fabbricato urbano"
"vivaio da pioppi","spazio aperto verde"
"casa, corte e orto","fabbricato urbano"
"studio","attività"
"pian terreno","fabbricato urbano"
"fabbricato e annessi","fabbricato urbano"
"fondo e corte","fabbricato urbano"
"sagrestia","spazio religioso"
"palazzo, corte, rimessa e stalla","fabbricato urbano"
"magazzino e fabbricato","fabbricato urbano"
"lavorativo con aranci","spazio aperto verde"
"compagnia detta del Piccione","spazio religioso"
"fabbricato, corte e bottega","fabbricato urbano"
"fabbricato e giardino","fabbricato urbano"
"scuole e fabbricato","fabbricato urbano"
"stanza terrena","fabbricato urbano"
"magazzino e casa","fabbricato urbano"
"lavorativo vitato, pomato, fruttato","spazio aperto verde"
"casa canonica","fabbricato urbano"
"palazzo pretorio","fabbricato urbano"
"ingresso, casa e corte","fabbricato urbano"
"giardino e vasche","spazio aperto verde"
"lavorativo vitato","spazio aperto verde"
"terrazza","fabbricato urbano"
"seminativo vitato, fruttato","spazio aperto verde"
"guindolo e corte","fabbricato urbano"
"stufa","fabbricato urbano"
"spedale e corte","spazio aperto"
"molino","attività"
"bottega, corte e fabbrica","spazio aperto"
"ortivo","spazio aperto verde"
"lavorativo fruttato vitato","spazio aperto verde"
"bottega e stanza","fabbricato urbano"
"casa e concia","fabbricato urbano"
"laguna per il ghiaccio","acque"
"stanza e corte","fabbricato urbano"
"casa e ingresso","fabbricato urbano"
"casa e due botteghe","fabbricato urbano"
"magazzino e stalla","fabbricato urbano"
"conciaio e corte","spazio aperto"
"serbatoio e pollaio","fabbricato urbano"
"seminativo vitato fruttato","spazio aperto verde"
"biliardo","servizi"
"fabbricato, fondi e corte","fabbricato urbano"
"bagni e corte","spazio aperto"
"concia","attività"
"loggia","fabbricato urbano"
"casa e stanze","fabbricato urbano"
"casa e forno","fabbricato urbano"
"cappella e sagrastia","spazio religioso"
"casa, magazzino e fabbricato","fabbricato urbano"
"fabbricato anzi casa","fabbricato urbano"
"casa","fabbricato urbano"
"gabellino della Porta Romana con abitazioni","fabbricato urbano"
"pioppato fruttato","spazio aperto verde"
"bottega, corte e fabbricato","fabbricato urbano"
"terreno, 1","spazio aperto verde"
"chiesa e sagrestia","spazio religioso"
"bottega e stanza sopra","fabbricato urbano"
"casetta e rimessa","fabbricato urbano"
"palazzo, corte e fabbricato","fabbricato urbano"
"bottega e pian terreno","fabbricato urbano"
"macelleria","attività"
"magazzino e giardino","fabbricato urbano"
"stanza da piante e rimessa","fabbricato urbano"
"palazzina","fabbricato urbano"
"fabbricato anzi orto","fabbricato urbano"
"casa e farmacia","fabbricato urbano"
"orto vitato e fruttato","spazio aperto verde"
"torrino","fabbricato urbano"
"giardino, fabbricato e cappella","fabbricato urbano"
"casa e orto","fabbricato urbano"
"castello","fabbricato urbano"
"casa e fabbrica","fabbricato urbano"
"casa del giardino","fabbricato urbano"
"luoghi comodi, corte e porta","fabbricato urbano"
"stradone e passeggio","spazio aperto"
"casino e corte","fabbricato urbano"
"casa e rimessa","fabbricato urbano"
"orto e casa","fabbricato urbano"
"convento e fabbricato","fabbricato urbano"
"terreno, magazzino e primo piano","fabbricato urbano"
"stalla e stanza","fabbricato urbano"
"loggetta e cortile","spazio aperto verde"
"ingresso comune","fabbricato urbano"
"luoghi per dianjaje","spazio aperto verde"
"fabbrica dell'opera con cortile e annessi","spazio aperto verde"
"casa, rimessa, corte e piazzale","fabbricato urbano"
"palazzetto","fabbricato urbano"
"lavorativo vitato, frutteto","spazio aperto verde"
"prato della fortezza","fabbricato urbano"
"ghiacciaia e corte","spazio aperto"
"vicolo","spazio aperto"
"orti","spazio aperto verde"
"porchereccia","attività"
"bagno","acque"
"stanze","fabbricato urbano"
"fabbrica della cera","attività"
"palazzetto, cortile e stalla","fabbricato urbano"
"casa e corte","fabbricato urbano"
"casa, magazzino e corte","fabbricato urbano"
"casa ed ingresso","fabbricato urbano"
"labirinto","spazio aperto verde"
"chiesa","spazio religioso"
"stalla e passare","fabbricato urbano"
"orto olivato","spazio aperto verde"
"ingresso al piano superiore","fabbricato urbano"
"casa e fabbricato","fabbricato urbano"
"bottega, casa e corte","fabbricato urbano"
"palazzo, corte e rimessa","fabbricato urbano"
"edifici","fabbricato urbano"
"cantina","fabbricato urbano"
"ingresso, casa, corte e fabbricato","fabbricato urbano"
"bottega e fondi","fabbricato urbano"
"guindolo","fabbricato urbano"
"pozzo comune","acque"
"calcinaia","spazio aperto"
"bosco a lecci","spazio aperto verde"
"vivaio di frutta","spazio aperto verde"
"stanza a terreno","fabbricato urbano"
"massechito","spazio aperto verde"
"casa e bottega","fabbricato urbano"
"andito","fabbricato urbano"
"orto e terreno lavorativo","spazio aperto verde"
"casa al 1n piano con ingresso","fabbricato urbano"
"viale in comune","spazio aperto"
"cucina","fabbricato urbano"
"bottega e casa","fabbricato urbano"
"piano terreno e corte","spazio aperto verde"
"casa, rimessa e stalla","fabbricato urbano"
"conserva d'acqua","acque"
"lavatoio","acque"
"giardinetto","spazio aperto verde"
"bottega e fornace","attività"
"fabbricato e casa","fabbricato urbano"
"chiesa e compagnia","spazio religioso"
"chiesa e casa","fabbricato urbano"
"bottega e orto","spazio aperto verde"
"lavorativo vitato, pioppato, gelsato","spazio aperto verde"
"casa colonica","fabbricato urbano"
"botteghe","attività"
"prato alberato","spazio aperto verde"
"sodi","spazio aperto verde"
"camposanto","spazio religioso"
"stalla","attività"
"fabbricato e cisterna","fabbricato urbano"
"sotterraneo","fabbricato urbano"
"piazza e trogoli","spazio aperto"
"lavorativo pioppato","spazio aperto verde"
"casa, fabbricato e corte","fabbricato urbano"
"casa a terreno","fabbricato urbano"
"nuovo corridore","fabbricato urbano"
"terreno sodivo","spazio aperto verde"
"terreno","spazio aperto verde"
"banco e fabbricato","fabbricato urbano"
"casa colonica, guindolo e corte","fabbricato urbano"
"piantonaia","spazio aperto verde"
"loggiato","fabbricato urbano"
"spedale e corti","spazio aperto verde"
"giardino con vasche","spazio aperto verde"
"due botteghe","attività"
"stalla con capanno","attività"
"casa in parte","fabbricato urbano"
"casa, corte, rimessa e bottega","fabbricato urbano"
"chiesa, sagrestia e orto","spazio religioso"
"battistero","spazio religioso"
"sodo olivato, fruttato","spazio aperto verde"
"casa, rimessa, stalla e corte","fabbricato urbano"
"casa e scuderia","fabbricato urbano"
"ingresso al giardino e fabbricato","fabbricato urbano"
"casa, corte e fabbrica","fabbricato urbano"
"bottega e passare","fabbricato urbano"
"conciaia e orto","spazio aperto verde"
"pian terreno e corte","fabbricato urbano"
"palazzo e cortile","fabbricato urbano"
"palazzo e rimessa","fabbricato urbano"
"rimessa e casa","fabbricato urbano"
"fornace e corte","spazio aperto"
"pianterreno","spazio aperto verde"
"prato","spazio aperto verde"
"pian terreno e mezzanino","fabbricato urbano"
"orticello","spazio aperto verde"
"casa con botteghe e corte","fabbricato urbano"
"scuole","servizi"
"casa del giardiniere","fabbricato urbano"
"terreno sodo","spazio aperto verde"
"casa, bottega corte e annessi","fabbricato urbano"
"stalla e capanna","fabbricato urbano"
"casa e tintoria","fabbricato urbano"
"terreno e 13 piano di casa","fabbricato urbano"
"lavorativo, vitato, pomato","spazio aperto verde"
"seminativo","spazio aperto verde"
"casa interna","fabbricato urbano"
"palazzo, corte e scuderia","fabbricato urbano"
"loggia a comune","fabbricato urbano"
"liceo e corte","spazio aperto"
"ingresso e corte","fabbricato urbano"
"albereta","spazio aperto verde"
"luoghi comodi","spazio aperto verde"
"fabbricato e orto","fabbricato urbano"
"lavorativo vitato e fruttato","spazio aperto verde"
"giuoco del pallone","spazio aperto"
"scrittoio","servizi"
"camposanto e fabbricato","fabbricato urbano"
"commissariato","servizi"
"casa con stalla a comune","fabbricato urbano"
"carceri e corte","spazio aperto"
"spalla di Arno","spazio aperto"
"lavorativo olivato","spazio aperto verde"
"prato comune","spazio aperto verde"
"palazzetto e corte","fabbricato urbano"
"corte e orto","spazio aperto verde"
"stabile","fabbricato urbano"
"ingresso e casa superiormente","fabbricato urbano"
"lecceta","spazio aperto verde"
"arsenale","fabbricato urbano"
"polveriera","fabbricato urbano"
"corte","spazio aperto"
"casa, corte e bottega","fabbricato urbano"
"anfiteatro","spazio aperto"
"cappella e corte","spazio religioso"
"prato pomario","spazio aperto verde"
"ghiacciaia","spazio aperto"
"ingresso e casa","fabbricato urbano"
"casa, aia e corte","fabbricato urbano"
"sodo a pastura","spazio aperto verde"
"casa e convento","fabbricato urbano"
"piazza della cera","spazio aperto"
"gabellino","fabbricato urbano"
"casa al 21 piano","fabbricato urbano"
"bottega e 33 piano","attività"
"vasca","acque"
"magazzino ed annessi","fabbricato urbano"
"stanzone","fabbricato urbano"
"chiesa e fabbricato","fabbricato urbano"
"casa, corte e magazzino","fabbricato urbano"
"cappella e fabbricato","fabbricato urbano"
"magazzini e corte","fabbricato urbano"
"azienda del bollo","servizi"
"rimessa e terreno","fabbricato urbano"
"corte comune","spazio aperto"
"ammazzatoio","attività"
"annesso di spedale","fabbricato urbano"
"fabbricato, bottega e aja","fabbricato urbano"
"lavorativo vitato, olivato","spazio aperto verde"
"concimaia","spazio aperto"
"casa a terreno, 1e piano e corte","fabbricato urbano"
"magazzino e corti","fabbricato urbano"
"orto con stanzetta","fabbricato urbano"
"26 e 3  piano","fabbricato urbano"
"ingresso e logge","fabbricato urbano"
"ospizio","servizi"
"fondi, corte e fabbricato","fabbricato urbano"
"orto e corte","spazio aperto verde"
"casa a terreno e i piani superiori interni","fabbricato urbano"
"villino e corte","fabbricato urbano"
"caffeaus","fabbricato urbano"
"loggia con stanzone","fabbricato urbano"
"passeggio pubblico","spazio aperto"
"orto e fabbricato","fabbricato urbano"
"viottolo","spazio aperto"
"lavorativo nudo, gelsato","spazio aperto verde"
"stalla, fienile e corte","fabbricato urbano"
"oratorio e sagrestia","spazio religioso"
"corte e bottega","spazio aperto"
"caserma degli anziani","servizi"
"pian terreno con corte e magazzino","fabbricato urbano"
"ingresso e scala","fabbricato urbano"
"casa (porzione)","fabbricato urbano"
"lavorativo pioppato, fruttato","spazio aperto verde"
"bottega","attività"
"gabellino e corte","fabbricato urbano"
"orto anzi casa","fabbricato urbano"
"corridore","fabbricato urbano"
