uri,nome,cognome,patronimico,genere_inferito
https://florentiaillustrata.net/resource/person/Pietro_Pellai,Pietro,Pellai,Giovanni Giuseppe,F
https://florentiaillustrata.net/resource/person/Vincenzo_Piamonti,Vincenzo,Piamonti,Lorenzo,F
https://florentiaillustrata.net/resource/person/Stella_Sandrini,Stella,Sandrini,Giuseppe,F
https://florentiaillustrata.net/resource/person/Matteo_Nencini,Matteo,Nencini,Filippo,F
https://florentiaillustrata.net/resource/person/Maria_Taci,Maria,Taci,Lorenzo,F
https://florentiaillustrata.net/resource/person/Luigi_Pomi,Luigi,Pomi,Giacinto,F
https://florentiaillustrata.net/resource/person/Pietro_Gherardi,Pietro,Gherardi,Giovanni,F
https://florentiaillustrata.net/resource/person/Colomba_Scorsini,Colomba,Scorsini,Vincenzo,F
https://florentiaillustrata.net/resource/person/Michele_Fabbrichesi,Michele,Fabbrichesi,Egidio,F
https://florentiaillustrata.net/resource/person/Vincenzo_Antinori,Vincenzo,Antinori,Niccolò,F
https://florentiaillustrata.net/resource/person/Luigi_Bellosi,Luigi,Bellosi,Vincenzio,F
https://florentiaillustrata.net/resource/person/Giacomo_Romanelli,Giacomo,Romanelli,Biagio,F
https://florentiaillustrata.net/resource/person/Tommaso_Grazzini,Tommaso,Grazzini,Giovanni,F
https://florentiaillustrata.net/resource/person/Francesco_Puliti,Francesco,Puliti,Antonio,F
https://florentiaillustrata.net/resource/person/Francesco_Altoviti,Francesco,Altoviti,Giovanni,F
https://florentiaillustrata.net/resource/person/Francesco_Loi,Francesco,Loi,Lorenzo,F
https://florentiaillustrata.net/resource/person/Francesco_Casoni,Francesco,Casoni,Giuseppe,F
https://florentiaillustrata.net/resource/person/Antonio_Fani,Antonio,Fani,Vincenzo,F
https://florentiaillustrata.net/resource/person/Filippo_Magnelli,Filippo,Magnelli,Domenico,F
https://florentiaillustrata.net/resource/person/Gaetano_Tommasini,Gaetano,Tommasini,Ippolito,F
https://florentiaillustrata.net/resource/person/Lorenzo_Marini,Lorenzo,Marini,Giovanni,F
https://florentiaillustrata.net/resource/person/Gaetano_Sgherri,Gaetano,Sgherri,,F
https://florentiaillustrata.net/resource/person/Luigi_Nardi,Luigi,Nardi,Giovan Battista,F
https://florentiaillustrata.net/resource/person/Gaetano_Banchi,Gaetano,Banchi,Gaspero,F
https://florentiaillustrata.net/resource/person/Geltrude_Grazzini,Geltrude,Grazzini,Giovanni,F
https://florentiaillustrata.net/resource/person/Francesco_Alessandri,Francesco,Alessandri,Gaspero,F
https://florentiaillustrata.net/resource/person/Giuseppe_Corradossi,Giuseppe,Corradossi,Giovan Domenico,F
https://florentiaillustrata.net/resource/person/Alberto_Alberti,Alberto,Alberti,Giuseppe,F
https://florentiaillustrata.net/resource/person/Lorenzo_Ceccherini,Lorenzo,Ceccherini,Carlo,F
https://florentiaillustrata.net/resource/person/Giuseppe_Tavanti,Giuseppe,Tavanti,Anton Domenico,F
https://florentiaillustrata.net/resource/person/Gaetano_Dini,Gaetano,Dini,Antonio,F
https://florentiaillustrata.net/resource/person/Gaetano_Caciotti_Della_Lastra,Gaetano,Caciotti Della Lastra,Benedetto,F
https://florentiaillustrata.net/resource/person/Tommaso_Poggi,Tommaso,Poggi,Michelangiolo,F
https://florentiaillustrata.net/resource/person/Alessandro_Arrighi,Alessandro,Arrighi,Francesco,F
https://florentiaillustrata.net/resource/person/Francesco_Bigazzi,Francesco,Bigazzi,Pasquale,F
https://florentiaillustrata.net/resource/person/Luigi_Bandinelli,Luigi,Bandinelli,Giuseppe,F
https://florentiaillustrata.net/resource/person/Carlo_Reishammer,Carlo,Reishammer,Giovan Battista Felice,F
https://florentiaillustrata.net/resource/person/Enrico_Shneiderff,Enrico,Shneiderff,Antonio,F
https://florentiaillustrata.net/resource/person/Samuel_Ambron,Samuel,Ambron,Leone,F
https://florentiaillustrata.net/resource/person/Tommaso_Perini,Tommaso,Perini,Guglielmo,F
https://florentiaillustrata.net/resource/person/Lorenzo_Castiglioni,Lorenzo,Castiglioni,Carlo,F
https://florentiaillustrata.net/resource/person/Anna_Bruscoli,Anna,Bruscoli,Giovacchino,F
https://florentiaillustrata.net/resource/person/Jacopo_Della_Fonte,Jacopo,Della Fonte,Pietro,F
https://florentiaillustrata.net/resource/person/Ferdinando_Pacini,Ferdinando,Pacini,Felice,F
https://florentiaillustrata.net/resource/person/Anna_Pecchioni,Anna,Pecchioni,Giacomo,F
https://florentiaillustrata.net/resource/person/Vincenzo_Baccetti,Vincenzo,Baccetti,Giovan Battista,F
https://florentiaillustrata.net/resource/person/Giuseppe_Alessandri,Giuseppe,Alessandri,Petronio,F
https://florentiaillustrata.net/resource/person/Maria_Teresa_Manetti,Maria Teresa,Manetti,Saverio,F
https://florentiaillustrata.net/resource/person/Roberto_Balestieri,Roberto,Balestieri,Gaetano,F
https://florentiaillustrata.net/resource/person/Pietro_Fineschi,Pietro,Fineschi,Giovanni,F
https://florentiaillustrata.net/resource/person/Maria_Teresa_Masini,Maria Teresa,Masini,Niccola,F
https://florentiaillustrata.net/resource/person/Matteo_Chiari,Matteo,Chiari,Filippo,F
https://florentiaillustrata.net/resource/person/Stefano_Suria,Stefano,Suria,Filippo,F
https://florentiaillustrata.net/resource/person/Anna_Collini,Anna,Collini,Giovan Gualberto,F
https://florentiaillustrata.net/resource/person/Ferdinando_Massy,Ferdinando,Massy,Vincenzo,F
https://florentiaillustrata.net/resource/person/Angelo_Brocchi,Angelo,Brocchi,Michelangelo,F
https://florentiaillustrata.net/resource/person/Luigi_Gherardini,Luigi,Gherardini,Luca,F
https://florentiaillustrata.net/resource/person/Elia_Orvieto,Elia,Orvieto,Isacco,F
