owner_name,moglie_di,num_proprieta,subjects,patronimici
Affortunata Rimini,Salomone della Vida,115,"https://florentiaillustrata.net/resource/appezzamento/8052, https://florentiaillustrata.net/resource/appezzamento/8055, https://florentiaillustrata.net/resource/appezzamento/8061, https://florentiaillustrata.net/resource/appezzamento/8065, https://florentiaillustrata.net/resource/appezzamento/8067, https://florentiaillustrata.net/resource/appezzamento/8072, https://florentiaillustrata.net/resource/appezzamento/8074, https://florentiaillustrata.net/resource/appezzamento/8076, https://florentiaillustrata.net/resource/appezzamento/8078, https://florentiaillustrata.net/resource/appezzamento/8079, https://florentiaillustrata.net/resource/appezzamento/8081, https://florentiaillustrata.net/resource/appezzamento/8082, https://florentiaillustrata.net/resource/appezzamento/8084, https://florentiaillustrata.net/resource/appezzamento/8085, https://florentiaillustrata.net/resource/appezzamento/8087, https://florentiaillustrata.net/resource/appezzamento/8088, https://florentiaillustrata.net/resource/appezzamento/8091, https://florentiaillustrata.net/resource/appezzamento/8092, https://florentiaillustrata.net/resource/appezzamento/8095, https://florentiaillustrata.net/resource/appezzamento/8096, https://florentiaillustrata.net/resource/appezzamento/8099, https://florentiaillustrata.net/resource/appezzamento/8100, https://florentiaillustrata.net/resource/appezzamento/8103, https://florentiaillustrata.net/resource/appezzamento/8104, https://florentiaillustrata.net/resource/appezzamento/8107, https://florentiaillustrata.net/resource/appezzamento/8108, https://florentiaillustrata.net/resource/appezzamento/8111, https://florentiaillustrata.net/resource/appezzamento/8112, https://florentiaillustrata.net/resource/appezzamento/8115, https://florentiaillustrata.net/resource/appezzamento/8116, https://florentiaillustrata.net/resource/appezzamento/8119, https://florentiaillustrata.net/resource/appezzamento/8120, https://florentiaillustrata.net/resource/appezzamento/8123, https://florentiaillustrata.net/resource/appezzamento/8124, https://florentiaillustrata.net/resource/appezzamento/8127, https://florentiaillustrata.net/resource/appezzamento/8128, https://florentiaillustrata.net/resource/appezzamento/8130, https://florentiaillustrata.net/resource/appezzamento/8132, https://florentiaillustrata.net/resource/appezzamento/8133, https://florentiaillustrata.net/resource/appezzamento/8135, https://florentiaillustrata.net/resource/appezzamento/8137, https://florentiaillustrata.net/resource/appezzamento/8140, https://florentiaillustrata.net/resource/appezzamento/8141, https://florentiaillustrata.net/resource/appezzamento/8143, https://florentiaillustrata.net/resource/appezzamento/8145, https://florentiaillustrata.net/resource/appezzamento/8147, https://florentiaillustrata.net/resource/appezzamento/8148, https://florentiaillustrata.net/resource/appezzamento/8149, https://florentiaillustrata.net/resource/appezzamento/8151, https://florentiaillustrata.net/resource/appezzamento/8153, https://florentiaillustrata.net/resource/appezzamento/8155, https://florentiaillustrata.net/resource/appezzamento/8157, https://florentiaillustrata.net/resource/appezzamento/8158, https://florentiaillustrata.net/resource/appezzamento/8160, https://florentiaillustrata.net/resource/appezzamento/8162, https://florentiaillustrata.net/resource/appezzamento/8163, https://florentiaillustrata.net/resource/appezzamento/8165, https://florentiaillustrata.net/resource/appezzamento/10237, https://florentiaillustrata.net/resource/appezzamento/10238, https://florentiaillustrata.net/resource/appezzamento/12930, https://florentiaillustrata.net/resource/appezzamento/7854, https://florentiaillustrata.net/resource/appezzamento/7856, https://florentiaillustrata.net/resource/appezzamento/7859, https://florentiaillustrata.net/resource/appezzamento/7861, https://florentiaillustrata.net/resource/appezzamento/7864, https://florentiaillustrata.net/resource/appezzamento/7867, https://florentiaillustrata.net/resource/appezzamento/7870, https://florentiaillustrata.net/resource/appezzamento/7873, https://florentiaillustrata.net/resource/appezzamento/7875, https://florentiaillustrata.net/resource/appezzamento/7878, https://florentiaillustrata.net/resource/appezzamento/7881, https://florentiaillustrata.net/resource/appezzamento/7884, https://florentiaillustrata.net/resource/appezzamento/7909, https://florentiaillustrata.net/resource/appezzamento/7911, https://florentiaillustrata.net/resource/appezzamento/7914, https://florentiaillustrata.net/resource/appezzamento/7916, https://florentiaillustrata.net/resource/appezzamento/7918, https://florentiaillustrata.net/resource/appezzamento/7924, https://florentiaillustrata.net/resource/appezzamento/7926, https://florentiaillustrata.net/resource/appezzamento/8007, https://florentiaillustrata.net/resource/appezzamento/8008, https://florentiaillustrata.net/resource/appezzamento/8010, https://florentiaillustrata.net/resource/appezzamento/8011, https://florentiaillustrata.net/resource/appezzamento/8013, https://florentiaillustrata.net/resource/appezzamento/8014, https://florentiaillustrata.net/resource/appezzamento/8016, https://florentiaillustrata.net/resource/appezzamento/8017, https://florentiaillustrata.net/resource/appezzamento/8018, https://florentiaillustrata.net/resource/appezzamento/8019, https://florentiaillustrata.net/resource/appezzamento/8021, https://florentiaillustrata.net/resource/appezzamento/8022, https://florentiaillustrata.net/resource/appezzamento/8024, https://florentiaillustrata.net/resource/appezzamento/8025, https://florentiaillustrata.net/resource/appezzamento/8026, https://florentiaillustrata.net/resource/appezzamento/8027, https://florentiaillustrata.net/resource/appezzamento/8028, https://florentiaillustrata.net/resource/appezzamento/8029, https://florentiaillustrata.net/resource/appezzamento/8032, https://florentiaillustrata.net/resource/appezzamento/8033, https://florentiaillustrata.net/resource/appezzamento/8034, https://florentiaillustrata.net/resource/appezzamento/8035, https://florentiaillustrata.net/resource/appezzamento/8036, https://florentiaillustrata.net/resource/appezzamento/8037, https://florentiaillustrata.net/resource/appezzamento/8038, https://florentiaillustrata.net/resource/appezzamento/8039, https://florentiaillustrata.net/resource/appezzamento/8040, https://florentiaillustrata.net/resource/appezzamento/8041, https://florentiaillustrata.net/resource/appezzamento/8042, https://florentiaillustrata.net/resource/appezzamento/8043, https://florentiaillustrata.net/resource/appezzamento/8044, https://florentiaillustrata.net/resource/appezzamento/8045, https://florentiaillustrata.net/resource/appezzamento/8046, https://florentiaillustrata.net/resource/appezzamento/8047, https://florentiaillustrata.net/resource/appezzamento/8048, https://florentiaillustrata.net/resource/appezzamento/8051",Moisè Vita
Maria Maddalena Castrucci,Pier Antonio Zanobi Capacci,42,"https://florentiaillustrata.net/resource/appezzamento/10048, https://florentiaillustrata.net/resource/appezzamento/1511, https://florentiaillustrata.net/resource/appezzamento/16483, https://florentiaillustrata.net/resource/appezzamento/16484, https://florentiaillustrata.net/resource/appezzamento/16529, https://florentiaillustrata.net/resource/appezzamento/16530, https://florentiaillustrata.net/resource/appezzamento/16531, https://florentiaillustrata.net/resource/appezzamento/16532, https://florentiaillustrata.net/resource/appezzamento/16533, https://florentiaillustrata.net/resource/appezzamento/16534, https://florentiaillustrata.net/resource/appezzamento/16535, https://florentiaillustrata.net/resource/appezzamento/16538, https://florentiaillustrata.net/resource/appezzamento/16539, https://florentiaillustrata.net/resource/appezzamento/16877, https://florentiaillustrata.net/resource/appezzamento/16878, https://florentiaillustrata.net/resource/appezzamento/16996, https://florentiaillustrata.net/resource/appezzamento/16997, https://florentiaillustrata.net/resource/appezzamento/17049, https://florentiaillustrata.net/resource/appezzamento/17050, https://florentiaillustrata.net/resource/appezzamento/6210, https://florentiaillustrata.net/resource/appezzamento/7465, https://florentiaillustrata.net/resource/appezzamento/7466, https://florentiaillustrata.net/resource/appezzamento/7555, https://florentiaillustrata.net/resource/appezzamento/7557, https://florentiaillustrata.net/resource/appezzamento/7558, https://florentiaillustrata.net/resource/appezzamento/7597, https://florentiaillustrata.net/resource/appezzamento/7599, https://florentiaillustrata.net/resource/appezzamento/7600, https://florentiaillustrata.net/resource/appezzamento/7601, https://florentiaillustrata.net/resource/appezzamento/7602, https://florentiaillustrata.net/resource/appezzamento/7603, https://florentiaillustrata.net/resource/appezzamento/7604, https://florentiaillustrata.net/resource/appezzamento/7605, https://florentiaillustrata.net/resource/appezzamento/7606, https://florentiaillustrata.net/resource/appezzamento/7607, https://florentiaillustrata.net/resource/appezzamento/7608, https://florentiaillustrata.net/resource/appezzamento/7609, https://florentiaillustrata.net/resource/appezzamento/7610, https://florentiaillustrata.net/resource/appezzamento/7611, https://florentiaillustrata.net/resource/appezzamento/7612, https://florentiaillustrata.net/resource/appezzamento/7613, https://florentiaillustrata.net/resource/appezzamento/7616",Giovanni Antonio
Luisa Orlandini,Tommaso Salviati,27,"https://florentiaillustrata.net/resource/appezzamento/12174, https://florentiaillustrata.net/resource/appezzamento/12175, https://florentiaillustrata.net/resource/appezzamento/12177, https://florentiaillustrata.net/resource/appezzamento/12179, https://florentiaillustrata.net/resource/appezzamento/12180, https://florentiaillustrata.net/resource/appezzamento/13691, https://florentiaillustrata.net/resource/appezzamento/13692, https://florentiaillustrata.net/resource/appezzamento/13693, https://florentiaillustrata.net/resource/appezzamento/13694, https://florentiaillustrata.net/resource/appezzamento/13695, https://florentiaillustrata.net/resource/appezzamento/13696, https://florentiaillustrata.net/resource/appezzamento/13719, https://florentiaillustrata.net/resource/appezzamento/13721, https://florentiaillustrata.net/resource/appezzamento/8196, https://florentiaillustrata.net/resource/appezzamento/8198, https://florentiaillustrata.net/resource/appezzamento/8199, https://florentiaillustrata.net/resource/appezzamento/8200, https://florentiaillustrata.net/resource/appezzamento/8201, https://florentiaillustrata.net/resource/appezzamento/8202, https://florentiaillustrata.net/resource/appezzamento/8204, https://florentiaillustrata.net/resource/appezzamento/8205, https://florentiaillustrata.net/resource/appezzamento/8206, https://florentiaillustrata.net/resource/appezzamento/8207, https://florentiaillustrata.net/resource/appezzamento/8208, https://florentiaillustrata.net/resource/appezzamento/8209, https://florentiaillustrata.net/resource/appezzamento/8210, https://florentiaillustrata.net/resource/appezzamento/8211",Fabio
Orsola Batistini,Giacomo Pecchioni,25,"https://florentiaillustrata.net/resource/appezzamento/11757, https://florentiaillustrata.net/resource/appezzamento/11758, https://florentiaillustrata.net/resource/appezzamento/11759, https://florentiaillustrata.net/resource/appezzamento/4596, https://florentiaillustrata.net/resource/appezzamento/4670, https://florentiaillustrata.net/resource/appezzamento/4671, https://florentiaillustrata.net/resource/appezzamento/4834, https://florentiaillustrata.net/resource/appezzamento/4835, https://florentiaillustrata.net/resource/appezzamento/4836, https://florentiaillustrata.net/resource/appezzamento/4837, https://florentiaillustrata.net/resource/appezzamento/4838, https://florentiaillustrata.net/resource/appezzamento/4839, https://florentiaillustrata.net/resource/appezzamento/4840, https://florentiaillustrata.net/resource/appezzamento/4841, https://florentiaillustrata.net/resource/appezzamento/4842, https://florentiaillustrata.net/resource/appezzamento/7184, https://florentiaillustrata.net/resource/appezzamento/7437, https://florentiaillustrata.net/resource/appezzamento/7438, https://florentiaillustrata.net/resource/appezzamento/7439, https://florentiaillustrata.net/resource/appezzamento/7446, https://florentiaillustrata.net/resource/appezzamento/7448, https://florentiaillustrata.net/resource/appezzamento/7449, https://florentiaillustrata.net/resource/appezzamento/7903, https://florentiaillustrata.net/resource/appezzamento/7905, https://florentiaillustrata.net/resource/appezzamento/7907",Giovanni
Orsola Batistini,Giacomo Pecchioni di Gaspero,25,"https://florentiaillustrata.net/resource/appezzamento/11757, https://florentiaillustrata.net/resource/appezzamento/11758, https://florentiaillustrata.net/resource/appezzamento/11759, https://florentiaillustrata.net/resource/appezzamento/4596, https://florentiaillustrata.net/resource/appezzamento/4670, https://florentiaillustrata.net/resource/appezzamento/4671, https://florentiaillustrata.net/resource/appezzamento/4834, https://florentiaillustrata.net/resource/appezzamento/4835, https://florentiaillustrata.net/resource/appezzamento/4836, https://florentiaillustrata.net/resource/appezzamento/4837, https://florentiaillustrata.net/resource/appezzamento/4838, https://florentiaillustrata.net/resource/appezzamento/4839, https://florentiaillustrata.net/resource/appezzamento/4840, https://florentiaillustrata.net/resource/appezzamento/4841, https://florentiaillustrata.net/resource/appezzamento/4842, https://florentiaillustrata.net/resource/appezzamento/7184, https://florentiaillustrata.net/resource/appezzamento/7437, https://florentiaillustrata.net/resource/appezzamento/7438, https://florentiaillustrata.net/resource/appezzamento/7439, https://florentiaillustrata.net/resource/appezzamento/7446, https://florentiaillustrata.net/resource/appezzamento/7448, https://florentiaillustrata.net/resource/appezzamento/7449, https://florentiaillustrata.net/resource/appezzamento/7903, https://florentiaillustrata.net/resource/appezzamento/7905, https://florentiaillustrata.net/resource/appezzamento/7907",Giovanni
Teresa Taddei,Giulio Gori,24,"https://florentiaillustrata.net/resource/appezzamento/15951, https://florentiaillustrata.net/resource/appezzamento/15952, https://florentiaillustrata.net/resource/appezzamento/15957, https://florentiaillustrata.net/resource/appezzamento/15958, https://florentiaillustrata.net/resource/appezzamento/15959, https://florentiaillustrata.net/resource/appezzamento/15960, https://florentiaillustrata.net/resource/appezzamento/15961, https://florentiaillustrata.net/resource/appezzamento/15962, https://florentiaillustrata.net/resource/appezzamento/15963, https://florentiaillustrata.net/resource/appezzamento/15964, https://florentiaillustrata.net/resource/appezzamento/15965, https://florentiaillustrata.net/resource/appezzamento/15966, https://florentiaillustrata.net/resource/appezzamento/15967, https://florentiaillustrata.net/resource/appezzamento/15968, https://florentiaillustrata.net/resource/appezzamento/15969, https://florentiaillustrata.net/resource/appezzamento/15970, https://florentiaillustrata.net/resource/appezzamento/15971, https://florentiaillustrata.net/resource/appezzamento/15972, https://florentiaillustrata.net/resource/appezzamento/15973, https://florentiaillustrata.net/resource/appezzamento/15975, https://florentiaillustrata.net/resource/appezzamento/15978, https://florentiaillustrata.net/resource/appezzamento/15948, https://florentiaillustrata.net/resource/appezzamento/15949, https://florentiaillustrata.net/resource/appezzamento/15950",Stefano
Luisa Pomi,Leopoldo Rossi,23,"https://florentiaillustrata.net/resource/appezzamento/12934, https://florentiaillustrata.net/resource/appezzamento/13175, https://florentiaillustrata.net/resource/appezzamento/13176, https://florentiaillustrata.net/resource/appezzamento/14456, https://florentiaillustrata.net/resource/appezzamento/14467, https://florentiaillustrata.net/resource/appezzamento/14468, https://florentiaillustrata.net/resource/appezzamento/14469, https://florentiaillustrata.net/resource/appezzamento/4082, https://florentiaillustrata.net/resource/appezzamento/4083, https://florentiaillustrata.net/resource/appezzamento/4891, https://florentiaillustrata.net/resource/appezzamento/5006, https://florentiaillustrata.net/resource/appezzamento/8413, https://florentiaillustrata.net/resource/appezzamento/8414, https://florentiaillustrata.net/resource/appezzamento/8415, https://florentiaillustrata.net/resource/appezzamento/8416, https://florentiaillustrata.net/resource/appezzamento/8417, https://florentiaillustrata.net/resource/appezzamento/8418, https://florentiaillustrata.net/resource/appezzamento/8419, https://florentiaillustrata.net/resource/appezzamento/8420, https://florentiaillustrata.net/resource/appezzamento/8422, https://florentiaillustrata.net/resource/appezzamento/8423, https://florentiaillustrata.net/resource/appezzamento/8424, https://florentiaillustrata.net/resource/appezzamento/9461",Giacinto
Luisa Strozzi,Bernardino Panciatichi Ximenes d'Aragona,21,"https://florentiaillustrata.net/resource/appezzamento/10082, https://florentiaillustrata.net/resource/appezzamento/10083, https://florentiaillustrata.net/resource/appezzamento/11287, https://florentiaillustrata.net/resource/appezzamento/11288, https://florentiaillustrata.net/resource/appezzamento/11322, https://florentiaillustrata.net/resource/appezzamento/11323, https://florentiaillustrata.net/resource/appezzamento/11324, https://florentiaillustrata.net/resource/appezzamento/11325, https://florentiaillustrata.net/resource/appezzamento/11326, https://florentiaillustrata.net/resource/appezzamento/11327, https://florentiaillustrata.net/resource/appezzamento/11328, https://florentiaillustrata.net/resource/appezzamento/11329, https://florentiaillustrata.net/resource/appezzamento/11330, https://florentiaillustrata.net/resource/appezzamento/9078, https://florentiaillustrata.net/resource/appezzamento/9079, https://florentiaillustrata.net/resource/appezzamento/9080, https://florentiaillustrata.net/resource/appezzamento/9081, https://florentiaillustrata.net/resource/appezzamento/9082, https://florentiaillustrata.net/resource/appezzamento/9083, https://florentiaillustrata.net/resource/appezzamento/9539, https://florentiaillustrata.net/resource/appezzamento/9540",Lorenzo
Giuseppe Francolini,Jacopo,18,"https://florentiaillustrata.net/resource/appezzamento/6983, https://florentiaillustrata.net/resource/appezzamento/8227, https://florentiaillustrata.net/resource/appezzamento/8718, https://florentiaillustrata.net/resource/appezzamento/8883, https://florentiaillustrata.net/resource/appezzamento/8884, https://florentiaillustrata.net/resource/appezzamento/8885, https://florentiaillustrata.net/resource/appezzamento/8887, https://florentiaillustrata.net/resource/appezzamento/9146, https://florentiaillustrata.net/resource/appezzamento/9788, https://florentiaillustrata.net/resource/appezzamento/558, https://florentiaillustrata.net/resource/appezzamento/615, https://florentiaillustrata.net/resource/appezzamento/616, https://florentiaillustrata.net/resource/appezzamento/617, https://florentiaillustrata.net/resource/appezzamento/618, https://florentiaillustrata.net/resource/appezzamento/619, https://florentiaillustrata.net/resource/appezzamento/664, https://florentiaillustrata.net/resource/appezzamento/6882, https://florentiaillustrata.net/resource/appezzamento/6883",Luigi
Anna Nobili,Giuseppe Balestri,17,"https://florentiaillustrata.net/resource/appezzamento/5328, https://florentiaillustrata.net/resource/appezzamento/5330, https://florentiaillustrata.net/resource/appezzamento/5332, https://florentiaillustrata.net/resource/appezzamento/5333, https://florentiaillustrata.net/resource/appezzamento/5341, https://florentiaillustrata.net/resource/appezzamento/5342, https://florentiaillustrata.net/resource/appezzamento/5343, https://florentiaillustrata.net/resource/appezzamento/5344, https://florentiaillustrata.net/resource/appezzamento/5345, https://florentiaillustrata.net/resource/appezzamento/5346, https://florentiaillustrata.net/resource/appezzamento/5349, https://florentiaillustrata.net/resource/appezzamento/5350, https://florentiaillustrata.net/resource/appezzamento/5351, https://florentiaillustrata.net/resource/appezzamento/5352, https://florentiaillustrata.net/resource/appezzamento/5353, https://florentiaillustrata.net/resource/appezzamento/5424, https://florentiaillustrata.net/resource/appezzamento/5426",Giovacchino
