speciePro,conteggioAppezzamenti,numeroUomini,percentuale
casa,4994,3270,34.17738844785108130300
bottega,2383,1694,16.30851355050643306900
orto,1455,1484,9.95756912127018888600
casa_e_corte,1296,1379,8.86942239255406515200
fabbricato,573,625,3.92143443744867232400
ingresso,427,508,2.92225568026279770100
magazzino,424,363,2.90172460990966329000
stabile_(porzione),233,8,1.59457979742677251600
rimessa,162,190,1.10867779906925814400
ingresso_e_casa,128,168,0.87599233506706816300
bottega_e_corte,126,182,0.86230495483164522300
casa_e_bottega,109,133,0.74596222283055023300
palazzo_e_corte,108,120,0.73911853271283876300
stalla,97,102,0.66383794141801259200
"casa,_corte_e_fabbricato",96,129,0.65699425130030112200
palazzo,89,121,0.60908842047632083200
"lavorativo_vitato,_fruttato",85,12,0.58171366000547495200
casa_(porzione),83,105,0.56802627977005201200
giardino,61,64,0.41746509718039967200
stanza,53,61,0.36271557623870791100
