nome,cognome,patronimico,marito,appezzamento,mq,via,numCivico,speciePro,tipoPossesso,comproprietari,numeroAppezzamenti,superficieTotaleMq
Margherita,Ajazzi,,Francesco_Torricelli,https://florentiaillustrata.net/resource/appezzamento/10004,175.7496,Via_dei_Pucci,6122,casa,comproprietà,Luisa Zuccotti; Teresa Ajazzi,1,175.7496
Teresa,Ajazzi,Gaetano,Amerigo_Zuccotti,https://florentiaillustrata.net/resource/appezzamento/10004,175.7496,Via_dei_Pucci,6122,casa,comproprietà,Margherita Ajazzi; Luisa Zuccotti,1,175.7496
Maria_Maddalena,Alamanni,Vincenzo,Filippo_Uguccioni,https://florentiaillustrata.net/resource/appezzamento/1425,77.9974,Via_Legnaioli,4186,casa,esclusivo,,5,1853.8858
Maria_Maddalena,Alamanni,Vincenzo,Filippo_Uguccioni,https://florentiaillustrata.net/resource/appezzamento/1426,60.6268,Via_Legnaioli,4185,casa,esclusivo,,5,1853.8858
Maria_Maddalena,Alamanni,Vincenzo,Filippo_Uguccioni,https://florentiaillustrata.net/resource/appezzamento/1427,838.8978,Via_Legnaioli,4184,casa,esclusivo,,5,1853.8858
Assunta,Alessandri,Francesco,Luigi_Serresi,https://florentiaillustrata.net/resource/appezzamento/4495,133.1746,Borgo_dei_Greci,209,casa,esclusivo,,2,195.1638
Enrichetta,Ambron,Sabato_Isacco,Salomone_Ambron,https://florentiaillustrata.net/resource/appezzamento/450,365.1232,Via_delle_Cantonelle,4924,casa,esclusivo,,5,513.2842
Enrichetta,Ambron,Sabato_Isacco,Salomone_Ambron,https://florentiaillustrata.net/resource/appezzamento/451,77.9974,Via_delle_Cantonelle,4925,casa,esclusivo,,5,513.2842
Enrichetta,Ambron,Sabato_Isacco,Salomone_Ambron,https://florentiaillustrata.net/resource/appezzamento/454,11.5804,Via_delle_Cantonelle,4923,ingresso,esclusivo,,5,513.2842
Caterina,Anastagi,,Giovan_Maria_Ostili,https://florentiaillustrata.net/resource/appezzamento/10269,210.4908,Via_S._Reparata,5721,casa,esclusivo,,2,280.3138
Maria_Anna,Andrei,Gaetano,Vincenzo_Del_Racca,https://florentiaillustrata.net/resource/appezzamento/3002,106.2672,Via_della_Porcellana,3796,casa,comproprietà,Maddalena Del Racca,1,106.2672
Maria_Domenica_Giuseppa,Ansalotti,Giovan_Battista,Giocondo_Arrighi,https://florentiaillustrata.net/resource/appezzamento/11526,187.33,Via_di_Mezzo,6937,casa_e_corte,esclusivo,,1,187.33
Annunziata,Bacci,Antonio,Bellini,https://florentiaillustrata.net/resource/appezzamento/16267,64.714,Borgo_S._Frediano,2828,casa_e_corte,esclusivo,,2,107.289
Agnese,Balatri,Giuseppe,Gaetano_Nannucci,https://florentiaillustrata.net/resource/appezzamento/6714,51.09,Via_di_Porta_Rossa,1025,casa_e_corte,esclusivo,,3,148.5016
Luisa,Baldini,Pier_Filippo,Filippo_Orsini,https://florentiaillustrata.net/resource/appezzamento/12967,137.943,Via_S._Cristofano_e_Via_delle_Pinzochere,7728,casa_e_corte,comproprietà,Ignazio Orsini,2,266.0086
Luisa,Baldini,Pier_Filippo,Filippo_Orsini,https://florentiaillustrata.net/resource/appezzamento/4588,128.0656,Via_del_Corno,4,casa,comproprietà,Ignazio Orsini,2,266.0086
Maria_Caterina,Baldini,,Agostino_Fiumi,https://florentiaillustrata.net/resource/appezzamento/5008,91.962,Via_del_Guanto,104,casa,esclusivo,,2,117.8476
Caterina,Baldocci,Simon_Pietro,Giuseppe_Mari,https://florentiaillustrata.net/resource/appezzamento/6719,229.905,Via_Monalda,1007,casa,esclusivo,,2,280.3138
Francesca,Baldocci,Simon_Pietro,Filippo_Cremoncini,https://florentiaillustrata.net/resource/appezzamento/6573,9.8774,Tronco_sulla_Piazza_del_Monte_di_Pietà,1093,ingresso,esclusivo,,6,201.9758
Francesca,Baldocci,Simon_Pietro,Filippo_Cremoncini,https://florentiaillustrata.net/resource/appezzamento/6717,101.8394,Via_Monalda,1008,casa,esclusivo,,6,201.9758
Vittoria,Baldovinetti,Giovanni,Giuseppe_Contucci,https://florentiaillustrata.net/resource/appezzamento/13632,1177.7948,Via_dei_Serragli_e_Via_Maffia,2053,palazzo_e_corte,comproprietà,Maddalena Baldovinetti,10,2230.5894
Vittoria,Baldovinetti,Giovanni,Giuseppe_Contucci,https://florentiaillustrata.net/resource/appezzamento/13649,541.554,Via_dei_Serragli_e_Via_S._Agostino,2054,palazzo_e_corte,esclusivo,,10,2230.5894
Vittoria,Baldovinetti,Giovanni,Giuseppe_Contucci,https://florentiaillustrata.net/resource/appezzamento/13651,85.4906,Via_S._Agostino,2059,casa,esclusivo,,10,2230.5894
Vittoria,Baldovinetti,Giovanni,Giuseppe_Contucci,https://florentiaillustrata.net/resource/appezzamento/13652,85.4906,Via_S._Agostino,2057,casa_e_corte,esclusivo,,10,2230.5894
Vittoria,Baldovinetti,Giovanni,Giuseppe_Contucci,https://florentiaillustrata.net/resource/appezzamento/13653,144.4144,Via_S._Agostino,2056,bottega_e_casa,esclusivo,,10,2230.5894
Vittoria,Baldovinetti,Giovanni,Giuseppe_Contucci,https://florentiaillustrata.net/resource/appezzamento/13657,32.0164,Via_S._Agostino,2055,casa,esclusivo,,10,2230.5894
Anna_Maria,Balducci,Francesco,Carlo_Guidi,https://florentiaillustrata.net/resource/appezzamento/14305,86.1718,Via_de_Guicciardini,1753,casa_e_corte,esclusivo,,2,172.0030
Maria_Felice,Balducci,Ranieri,Giuseppe_Ricci,https://florentiaillustrata.net/resource/appezzamento/8774,339.5782,Via_Larga,6065,casa_e_corte,esclusivo,,2,541.8946
Maddalena,Balestri,,Alessandro_Casali,https://florentiaillustrata.net/resource/appezzamento/5328,20.436,Via_degli_Archibusieri,1259,casa,comproprietà,Anna Nobili,17,490.1234
Maddalena,Balestri,,Alessandro_Casali,https://florentiaillustrata.net/resource/appezzamento/5333,6.812,Via_degli_Archibusieri,1268,casa,comproprietà,Anna Nobili,17,490.1234
Maddalena,Balestri,,Alessandro_Casali,https://florentiaillustrata.net/resource/appezzamento/5341,29.6322,Piazza_S._Stefano,1258,casa,comproprietà,Anna Nobili,17,490.1234
Maddalena,Balestri,,Alessandro_Casali,https://florentiaillustrata.net/resource/appezzamento/5343,7.1526,Piazza_S._Stefano,1260,casa,comproprietà,Anna Nobili,17,490.1234
Maddalena,Balestri,,Alessandro_Casali,https://florentiaillustrata.net/resource/appezzamento/5349,4.0872,Via_Por_S._Maria,1265,casa,comproprietà,Anna Nobili,17,490.1234
Maddalena,Balestri,,Alessandro_Casali,https://florentiaillustrata.net/resource/appezzamento/5424,4.0872,Via_Vacchereccia,529,casa,comproprietà,Anna Nobili,17,490.1234
Beatrice,Bambi,Francesco,Boccini,https://florentiaillustrata.net/resource/appezzamento/17502,71.8666,Via_S._Maria_e_Via_dell_Uliuzzo,2488_e_2487,ingresso_e_casa,esclusivo,,2,120.5724
Penelope,Bambocci,Gaetano,Gaspero_Mangini,https://florentiaillustrata.net/resource/appezzamento/12290,300.4092,Via_dei_Pentolini,7162,ingresso_e_fabbricato,esclusivo,,3,386.9216
Penelope,Bambocci,Gaetano,Gaspero_Mangini,https://florentiaillustrata.net/resource/appezzamento/12291,26.5668,Via_dei_Pentolini,7161,casa,esclusivo,,3,386.9216
Penelope,Bambocci,Gaetano,Gaspero_Mangini,https://florentiaillustrata.net/resource/appezzamento/16833,59.9456,Via_della_Chiesa_e_Via_S._Salvadore,3045,casa,esclusivo,,3,386.9216
Maria_Teresa,Banchetti,Jacopo,Pietro_Ciari,https://florentiaillustrata.net/resource/appezzamento/12531,71.1854,Via_dei_Pentolini,7127,casa,comproprietà,Pietro Ciari,2,100.4770
Fortunata,Bandinelli,Stefano,Luigi_Bardi,https://florentiaillustrata.net/resource/appezzamento/4043,300.7498,Borgo_degli_Albizzi,460,casa_e_corte,esclusivo,,1,300.7498
Maria,Bandinelli,Tommaso,Gaetano_Galantini,https://florentiaillustrata.net/resource/appezzamento/12236,104.9048,Via_Pietrapiana,7193,casa,esclusivo,,4,252.3846
Chiara,Baraffael,Ezzechia_Tranquillo,Aronne_Bondi_Sanguinetti,https://florentiaillustrata.net/resource/appezzamento/8273,101.1582,Via_dei_Ferrivecchi,964,casa,esclusivo,,9,639.6468
Chiara,Baraffael,Ezzechia_Tranquillo,Aronne_Bondi_Sanguinetti,https://florentiaillustrata.net/resource/appezzamento/996,227.5208,Via_dell_Amorino,4542,casa,esclusivo,,9,639.6468
Regina,Barbanti,Gaspero,Francesco_Fortini,https://florentiaillustrata.net/resource/appezzamento/12596,60.9674,Via_Borgo_la_Croce,7100,casa,esclusivo,,3,145.0956
Rosa,Barbanti,Giovanni,Luigi_Parrini,https://florentiaillustrata.net/resource/appezzamento/10206,73.9102,Via_S._Gallo,5758,"casa,_corte_e_fabbricato",comproprietà,Barbera Vannini; Rosa Nannucci,2,133.1746
Carlotta,Barbolani_da_Montauto,Federigo,Simone_Velluti_Zati,https://florentiaillustrata.net/resource/appezzamento/13873,0.0,Via_S._Giovanni,2274,casetta_e_rimessa,comproprietà,Clarice Barbolani da Montauto; Minerva Barbolani da Montauto; Luisa Barbolani da Montauto; Vittoria Barbolani da Montauto,9,703.3390
Carlotta,Barbolani_da_Montauto,Federigo,Simone_Velluti_Zati,https://florentiaillustrata.net/resource/appezzamento/15218,88.8966,Via_de_Bardi,1336,"casa,_corte_e_orto",comproprietà,Clarice Barbolani da Montauto; Luisa Barbolani da Montauto; Minerva Barbolani da Montauto; Vittoria Barbolani da Montauto,9,703.3390
Carlotta,Barbolani_da_Montauto,Federigo,Simone_Velluti_Zati,https://florentiaillustrata.net/resource/appezzamento/1798,174.7278,Via_degli_Avelli,4598,casa,comproprietà,Clarice Barbolani da Montauto; Luisa Barbolani da Montauto; Minerva Barbolani da Montauto; Vittoria Barbolani da Montauto,9,703.3390
